Date of Sale (dd/mm/yyyy),Sale Year,Sale Month,is_apartment,location,Description of Property,Not Full Market Price,Price_Adjusted_VAT_Clamped,vat_adjusted_flag
2016-11-15,2016,11,0,Wexford,Second-Hand Dwelling house /Apartment,No,184000.0,0
2016-04-12,2016,4,0,Dublin 1,Second-Hand Dwelling house /Apartment,No,232500.0,0
2016-08-04,2016,8,0,Tipperary,Second-Hand Dwelling house /Apartment,No,103000.0,0
2016-08-16,2016,8,1,Dublin 7,Second-Hand Dwelling house /Apartment,No,215000.0,0
2016-04-07,2016,4,0,Limerick,Second-Hand Dwelling house /Apartment,No,86000.0,0
2016-11-17,2016,11,0,Dublin 11,Second-Hand Dwelling house /Apartment,No,229000.0,0
2016-04-27,2016,4,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,232000.0,0
2016-07-15,2016,7,0,Galway,Second-Hand Dwelling house /Apartment,No,377800.0,0
2016-07-15,2016,7,0,Mayo,Second-Hand Dwelling house /Apartment,No,85000.0,0
2016-07-18,2016,7,0,Dublin 9,Second-Hand Dwelling house /Apartment,No,351500.0,0
2016-05-16,2016,5,0,Cork,Second-Hand Dwelling house /Apartment,No,95000.0,0
2016-12-22,2016,12,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,140000.0,0
2016-05-20,2016,5,0,Westmeath,Second-Hand Dwelling house /Apartment,No,78000.0,0
2016-10-10,2016,10,0,Cork,Second-Hand Dwelling house /Apartment,No,92000.0,0
2016-12-23,2016,12,0,Dublin 25,Second-Hand Dwelling house /Apartment,No,250000.0,0
2016-05-10,2016,5,0,Wicklow,New Dwelling house /Apartment,No,375000.0,0
2016-05-25,2016,5,0,Dublin 13,Second-Hand Dwelling house /Apartment,No,430000.0,0
2016-06-24,2016,6,1,Tipperary,Second-Hand Dwelling house /Apartment,No,60000.0,0
2016-04-07,2016,4,0,Dublin 22,Second-Hand Dwelling house /Apartment,No,185000.0,0
2016-10-12,2016,10,0,Dublin 26,Second-Hand Dwelling house /Apartment,No,120000.0,0
2016-11-04,2016,11,0,Westmeath,Second-Hand Dwelling house /Apartment,No,81300.0,0
2016-05-03,2016,5,0,Longford,New Dwelling house /Apartment,No,72999.795,1
2016-03-22,2016,3,0,Dublin 15,Second-Hand Dwelling house /Apartment,No,245000.0,0
2016-07-06,2016,7,0,Limerick,Second-Hand Dwelling house /Apartment,No,160000.0,0
2016-12-17,2016,12,0,Galway,Second-Hand Dwelling house /Apartment,No,172000.0,0
2016-12-05,2016,12,0,Tipperary,Second-Hand Dwelling house /Apartment,No,90000.0,0
2016-07-01,2016,7,0,Limerick,Second-Hand Dwelling house /Apartment,No,135000.0,0
2016-02-29,2016,2,0,Carlow,Second-Hand Dwelling house /Apartment,No,207000.0,0
