Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-06-10,"S THE KNOLL, CASHELDOWNS, KILKENNY",Kilkenny,,215000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"S THE KNOLL, CASHELDOWNS, KILKENNY",ok_relaxed_area,52.641207,-7.24869
2016-09-23,"7 THE BEECHES, WOODVILLE, GLANMIRE",Cork,,275000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"7 THE BEECHES, WOODVILLE, GLANMIRE, Cork",ok,51.870727,-8.348953
2016-12-22,"DERRY ROAD, DURROW, CO. LAOIS",Laois,,148000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"DERRY ROAD, DURROW, CO. LAOIS",ok_relaxed_area,52.831458,-7.393796
2016-06-28,"KARIBU, STRANDHILL RD, SLIGO",Sligo,,294000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"KARIBU, STRANDHILL RD, SLIGO",ok_relaxed_area,54.271083,-8.496766
2016-09-08,"40 PYNES VALLEY, BALLYVOLANE, CORK",Cork,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"40 PYNES VALLEY, BALLYVOLANE, CORK",ok,51.914417,-8.455625
2016-12-20,"Apartment 180 Neptune Block, Honeypark, Dun Laoghaire",Dublin,,352423.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,"Apartment 180 Neptune Block, Honeypark, Dun Laoghaire, Dublin",ok_relaxed_area,53.278942,-6.142216
2016-11-10,"64 RIVERRUN, LOUGH DOOLEY, BELTURBET",Cavan,,45000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"64 RIVERRUN, LOUGH DOOLEY, BELTURBET, Cavan",ok,54.127223,-7.440836
2016-06-22,"30 Kilheale Ave, Kilheale Manor, Kill",Kildare,,259911.89,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,"30 Kilheale Ave, Kilheale Manor, Kill, Kildare",ok,53.242794,-6.591753
2016-01-06,"Attidermot, Aughrim, Ballinasloe",Galway,,107000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"Attidermot, Aughrim, Ballinasloe, Galway",ok_relaxed_area,53.301044,-8.320295
2016-09-30,"60 Crenigans Banog, Milltown Road, Ashbourne",Meath,,245814.98,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,9,"60 Crenigans Banog, Milltown Road, Ashbourne, Meath",ok,53.503616,-6.384005
2016-07-27,"86 TREES RD, MT MERRION, DUBLIN",Dublin,,875000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"86 TREES RD, MT MERRION, DUBLIN",ok,53.292018,-6.210283
2016-12-16,"2 the vale, moyglare hall, maynooth",Kildare,,387664.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,2016,12,"2 the vale, moyglare hall, maynooth, Kildare",ok,53.342212,-6.552917
2016-12-21,"MULLYMUCKS, ROSCOMMON",Roscommon,,77000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"MULLYMUCKS, ROSCOMMON",ok_relaxed_area,53.665375,-8.207697
2016-02-25,"32 MILLBRIDGE AVE, SALLINS RD, NAAS",Kildare,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"32 MILLBRIDGE AVE, SALLINS RD, NAAS, Kildare",ok,53.222496,-6.663725
2016-07-12,"58 ST MARYS PARK, WALKINSTOWN, DUBLIN 12",Dublin,,250000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"58 ST MARYS PARK, WALKINSTOWN, DUBLIN 12",ok,53.322998,-6.322456
2016-02-05,"STARGAZER, DOOKS, GLENBEIGH",Kerry,,260000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"STARGAZER, DOOKS, GLENBEIGH, Kerry",ok_relaxed_area,53.260615,-6.175757
2016-11-03,"11 DUN NA MARA, ORANMORE, GALWAY",Galway,,175000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"11 DUN NA MARA, ORANMORE, GALWAY",ok,53.273536,-9.027428
2016-10-20,"19 CARROWBEG EST, WESTPORT, MAYO",Mayo,,205000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"19 CARROWBEG EST, WESTPORT, MAYO",ok,53.804767,-9.513873
2016-06-08,"BEECHWOOD, NENAGH, TIPPERARY",Tipperary,,267500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"BEECHWOOD, NENAGH, TIPPERARY",ok_relaxed_area,52.899085,-8.135258
2016-12-21,"LANE HOUSE, 5 KILLINCARRIG MANOR, THE BURNABY    GREYSTONES",Wicklow,,555000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"LANE HOUSE, 5 KILLINCARRIG MANOR, THE BURNABY    GREYSTONES, Wicklow",ok,53.13829,-6.073022
