Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,geocode_query,geocode_status,latitude,longitude
2016-01-24,"10 Sunview Court, Douglas, Cork",Cork,,204000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"10 Sunview Court, Douglas, Cork",ok,51.910667,-8.486663
2016-11-28,"32A CLAREVILLE RD, HAROLDS CROSS, DUBLIN 6W",Dublin,,375000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"32A CLAREVILLE RD, HAROLDS CROSS, DUBLIN 6W",ok,53.317943,-6.283664
2016-06-22,"305 BLOCK A, HAMPTON LODGE, GRACE PARK RD DUBLIN 9",Dublin,,280000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"305 BLOCK A, HAMPTON LODGE, GRACE PARK RD DUBLIN 9",ok,53.380657,-6.239628
2016-07-11,"79 ST BRIDGETS SQUARE, PORTARLINGTON, CO LAOIS",Laois,,75000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"79 ST BRIDGETS SQUARE, PORTARLINGTON, CO LAOIS",no_result,,
2016-06-08,"10 LAKESHORE HOLIDAY VILLAGE, BLESSINGTON, HOLIDAY VILLAGE",Wicklow,,125000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"10 LAKESHORE HOLIDAY VILLAGE, BLESSINGTON, HOLIDAY VILLAGE, Wicklow",ok,53.161979,-6.535457
2016-01-20,"20 Brindle Hill, Charleville",Cork,,79000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"20 Brindle Hill, Charleville, Cork",ok,52.346743,-8.678572
2016-11-17,"3 VALLEY WALK, DRUID VALLEY, CABINTEELY DUBLIN 18",Dublin,,610000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"3 VALLEY WALK, DRUID VALLEY, CABINTEELY DUBLIN 18",ok,53.246433,-6.140966
2016-08-30,"10 BELLGREE CLOSE, TYRRELSTOWN, BLANCHARDSTOWN DUBLIN 15",Dublin,,220000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"10 BELLGREE CLOSE, TYRRELSTOWN, BLANCHARDSTOWN DUBLIN 15",ok,53.421546,-6.384845
2016-04-26,"Various Properties  Millhouse, Woodland Grove  New Ross, Wexford",Wexford,,409500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"Various Properties  Millhouse, Woodland Grove  New Ross, Wexford",no_result,,
2016-04-04,"20 THE MALTINGS, BRAY, WICKLOW",Wicklow,,255000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"20 THE MALTINGS, BRAY, WICKLOW",ok,53.204853,-6.112394
2016-12-08,"35 THE RISE, KINGSWOOD, TALLAGHT DUBLIN 24",Dublin,,238000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"35 THE RISE, KINGSWOOD, TALLAGHT DUBLIN 24",ok,53.579402,-6.123568
2016-11-09,"39 ESKER MEADOW GREEN, LUCAN, DUBLIN",Dublin,,317500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"39 ESKER MEADOW GREEN, LUCAN, DUBLIN",ok,53.349456,-6.433567
2016-06-28,"22 PINEBROOK VIEW, CLONSILLA, DUBLIN 15",Dublin,,160000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"22 PINEBROOK VIEW, CLONSILLA, DUBLIN 15",ok,53.39804,-6.414084
2016-03-09,"205 THE WILLOWS, BOREENMANNA RD, CORK",Cork,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"205 THE WILLOWS, BOREENMANNA RD, CORK",ok,51.892696,-8.582163
2016-03-04,"42 FOX LODGE MANOR, RATOATH, CO MEATH",Meath,,170000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,3,"42 FOX LODGE MANOR, RATOATH, CO MEATH",ok,53.509788,-6.452123
2016-07-15,"497A BALLINTEER RD, WOODPARK, DUBLIN 16",Dublin,,650000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"497A BALLINTEER RD, WOODPARK, DUBLIN 16",ok,53.272087,-6.244985
2016-04-08,"APARTMENT 5 BLOCK 7, GALLERY QUAY, GRAND CANAL DOCK",Dublin,,265000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"APARTMENT 5 BLOCK 7, GALLERY QUAY, GRAND CANAL DOCK, Dublin",ok,53.324916,-6.23227
2016-07-08,"CLOONEYQUINN, ELPHIN, ROSCOMMON",Roscommon,,110000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"CLOONEYQUINN, ELPHIN, ROSCOMMON",no_result,,
2016-06-20,"RATHLOOSE, POWERSTOWN, CLONMEL",Tipperary,,320000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"RATHLOOSE, POWERSTOWN, CLONMEL, Tipperary",no_result,,
2016-04-07,"15 CITY SQ, GLOUCESTER ST SOUTH, DUBLIN 2",Dublin,,193516.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"15 CITY SQ, GLOUCESTER ST SOUTH, DUBLIN 2",no_result,,
2016-08-26,"IRREMORE, LISTOWEL, KERRY",Kerry,,200000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"IRREMORE, LISTOWEL, KERRY",no_result,,
2016-08-22,"CAHERULTAN, LOUGHADERRA, CASTLEMARTYR",Cork,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"CAHERULTAN, LOUGHADERRA, CASTLEMARTYR, Cork",no_result,,
2016-04-05,"APT 306 ALTMORE HOUSE, TARA ST, TULLAMORE OFFALY",Offaly,,110000.0,Yes,No,Second-Hand Dwelling house /Apartment,,2016,4,"APT 306 ALTMORE HOUSE, TARA ST, TULLAMORE OFFALY",no_result,,
2016-06-08,"5  The Stables, Monivea",Galway,,136916.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,"5  The Stables, Monivea, Galway",ok,53.370841,-8.702788
2016-10-27,"36 Hayfield, Straffan Road, Maynooth",Kildare,,229075.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,10,"36 Hayfield, Straffan Road, Maynooth, Kildare",ok,53.369846,-6.592247
2016-06-01,"18 ROCHDALE, HONEY PARK, KILL AVENUE   DUN LAOGHAIRE",Dublin,,102000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"18 ROCHDALE, HONEY PARK, KILL AVENUE   DUN LAOGHAIRE, Dublin",ok,53.283376,-6.15331
2016-11-09,"43 SILVERBROOK, MILL RD, CORBALLY",Limerick,,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"43 SILVERBROOK, MILL RD, CORBALLY, Limerick",no_result,,
2016-09-30,"16 ROWAN HALL, MILLBROOK COURT, MILLTOWN DUBLIN 6",Dublin,,410000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"16 ROWAN HALL, MILLBROOK COURT, MILLTOWN DUBLIN 6",ok,53.301223,-6.260533
2016-05-17,"CHURCH ROAD, KILMUCKRIDGE, GOREY",Wexford,,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"CHURCH ROAD, KILMUCKRIDGE, GOREY, Wexford",no_result,,
2016-11-01,"5 CARAGH GREEN, NAAS, KILDARE",Kildare,,251000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"5 CARAGH GREEN, NAAS, KILDARE",ok,53.220455,-6.678676
2016-02-10,"CUSHEEN, CUSH CROSS ROADS, KILFINANE",Limerick,,115000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"CUSHEEN, CUSH CROSS ROADS, KILFINANE, Limerick",no_result,,
2016-12-21,"18 Ridgewood Manor, Melitta Road, Kildare Town",Kildare,,237900.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,"18 Ridgewood Manor, Melitta Road, Kildare Town",ok,53.163516,-6.896895
2016-08-16,"45 The Woods, Glounthaune, Cork",Cork,,243096.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,8,"45 The Woods, Glounthaune, Cork",ok,51.913604,-8.320293
2016-05-12,"INCH, KILCUMMIN, KILLARNEY",Kerry,,140000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"INCH, KILCUMMIN, KILLARNEY, Kerry",no_result,,
2016-11-21,"3 VICTORIA VILLAS, CLONTARF, DUBLIN 3",Dublin,,610000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"3 VICTORIA VILLAS, CLONTARF, DUBLIN 3",ok,53.366615,-6.227097
2016-07-01,"GORTNAMULLEN, KILLOURT, MALIN HEAD",Donegal,,25000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"GORTNAMULLEN, KILLOURT, MALIN HEAD, Donegal",no_result,,
2016-11-02,"4 HARBOUR ST, MULLINGAR, WESTMEATH",Westmeath,,47500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"4 HARBOUR ST, MULLINGAR, WESTMEATH",ok,53.5275,-7.340744
2016-08-31,"ROS NA LAOI, RICHMOND WOOD, GLANMIRE",Cork,,710000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"ROS NA LAOI, RICHMOND WOOD, GLANMIRE, Cork",no_result,,
2016-12-12,"25 Barley Field, Wicklow Hills, Newtownmountkennedy",Wicklow,,175330.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,12,"25 Barley Field, Wicklow Hills, Newtownmountkennedy",no_result,,
2016-03-31,"DELVIN RD, GORMANSTOWN, CO MEATH",Meath,,287500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"DELVIN RD, GORMANSTOWN, CO MEATH",no_result,,
2016-03-04,"65 SOLOMONS COURT, LETTERKENNY, DONEGAL",Donegal,,95000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"65 SOLOMONS COURT, LETTERKENNY, DONEGAL",ok,54.963451,-7.753466
2016-08-09,"1 KILCORAN PLACE, BALLYVERGAN, YOUGHAL",Cork,,100000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"1 KILCORAN PLACE, BALLYVERGAN, YOUGHAL, Cork",ok,51.939121,-7.867104
2016-06-13,"15 NEWCOMEN AVE, NORTH STRAND, DUBLIN 3",Dublin,,305000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,6,"15 NEWCOMEN AVE, NORTH STRAND, DUBLIN 3",ok,53.357501,-6.244875
2016-04-22,"40 CHERRYWOOD AVE, CLONDALKIN, DUBLIN 22",Dublin,,230000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,4,"40 CHERRYWOOD AVE, CLONDALKIN, DUBLIN 22",ok,53.321498,-6.404635
2016-06-16,"Coolroe, Killorglin",Kerry,,100000.0,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,6,"Coolroe, Killorglin, Kerry",no_result,,
2016-05-27,"212 GREEN PARK MEADOWS, MULLINGAR, WESTMEATH",Westmeath,,182000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"212 GREEN PARK MEADOWS, MULLINGAR, WESTMEATH",ok,53.519149,-7.374529
2016-05-03,"CAMCLOONMORE, NEWPORT, MAYO",Mayo,,225000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,5,"CAMCLOONMORE, NEWPORT, MAYO",no_result,,
2016-08-08,"31 CARNEGIE COURT, NORTH ST, SWORDS",Dublin,,150000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"31 CARNEGIE COURT, NORTH ST, SWORDS, Dublin",no_result,,
2016-02-08,"77 THE CLOISTERS, MOUNT TALLANT AVE, TERENURE",Dublin,,440501.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"77 THE CLOISTERS, MOUNT TALLANT AVE, TERENURE, Dublin",no_result,,
2016-09-20,"22 THE PINES, RUSHBROOKE LINKS, COBH",Cork,,283000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"22 THE PINES, RUSHBROOKE LINKS, COBH, Cork",ok,51.852989,-8.322541
2016-08-22,"No. 4 The Crescent, Ros Mor, Kilmallock Road",Limerick,,171806.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2016,8,"No. 4 The Crescent, Ros Mor, Kilmallock Road, Limerick",ok,52.247512,-6.342142
2016-12-07,"TINNEEL, CAHERMORE CROSS, ROSSCARBERY",Cork,,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,12,"TINNEEL, CAHERMORE CROSS, ROSSCARBERY, Cork",no_result,,
2016-03-21,"43 COLLAIRE COURT, FRIARY WALK, CALLAN",Kilkenny,,135000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"43 COLLAIRE COURT, FRIARY WALK, CALLAN, Kilkenny",ok,52.551433,-7.379504
2016-02-11,"NEWTWOPOTHOUSE, MALLOW, CORK",Cork,,297500.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"NEWTWOPOTHOUSE, MALLOW, CORK",no_result,,
2016-09-28,"APARTMENT 9, THE BOATHOUSE, SCOTCH QUAY",Waterford,,62000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"APARTMENT 9, THE BOATHOUSE, SCOTCH QUAY, Waterford",no_result,,
2016-10-17,"52 BUNBURY GATE CRESCENT, SWORDS, DUBLIN",Dublin,,298000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,10,"52 BUNBURY GATE CRESCENT, SWORDS, DUBLIN",ok,53.469043,-6.240402
2016-01-07,"5 KILLALA RD, DUBLIN 7, DUBLIN",Dublin,,210000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,1,"5 KILLALA RD, DUBLIN 7, DUBLIN",ok,53.364772,-6.298212
2016-07-29,"24 BLACKHALL GREEN, BLACKHALL PLACE, STONEYBATTER DUBLIN 24",Dublin,,195000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,7,"24 BLACKHALL GREEN, BLACKHALL PLACE, STONEYBATTER DUBLIN 24",no_result,,
2016-03-18,"3 WOODFIELD, CLONARD, WEXFORD",Wexford,,165000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"3 WOODFIELD, CLONARD, WEXFORD",ok,52.331787,-6.480327
2016-02-18,"5 WOODSTOWN WALK, WOODSTOWN VILLAGE, KNOCKLYON DUBLIN 16",Dublin,,503000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,2,"5 WOODSTOWN WALK, WOODSTOWN VILLAGE, KNOCKLYON DUBLIN 16",ok,53.265422,-6.315148
2016-05-18,"40 KEVINSFORT HEATH, STRANDHILL ROAD, SLIGO",Sligo,,305000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2016,5,"40 KEVINSFORT HEATH, STRANDHILL ROAD, SLIGO",ok,54.271942,-8.503423
2016-03-30,"36 Riverside View, Pearse Road, Letterkenny",Donegal,,20000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,3,"36 Riverside View, Pearse Road, Letterkenny, Donegal",no_result,,
2016-09-16,"MASSEYS BRIDGE, CLARINA, CO LIMERICK",Limerick,,130000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,9,"MASSEYS BRIDGE, CLARINA, CO LIMERICK",no_result,,
2016-11-15,"50 WOODALE VIEW, BALLYCULLEN VIEW, DUBLIN 24",Dublin,,400000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,11,"50 WOODALE VIEW, BALLYCULLEN VIEW, DUBLIN 24",ok,53.534612,-6.095511
2016-08-18,"16 ST BRIDGETS AVENUE, BORRISOKANE, CO TIPPERARY",Tipperary,,53000.0,No,No,Second-Hand Dwelling house /Apartment,,2016,8,"16 ST BRIDGETS AVENUE, BORRISOKANE, CO TIPPERARY",ok,52.992855,-8.125864
