Date of Sale (dd/mm/yyyy),County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Sale Year,Sale Month,is_apartment,has_number,dublin_district,dublin_district_missing,area_token,area_token_missing,eircode_missing,eircode_prefix,Price_Clamped,vat_adjusted_flag,Price_Adjusted_VAT
2019-02-22,Meath,Unknown,132000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,2,0,1,Unknown,1,navan,0,1,UNK,132000.0,0,132000.0
2019-05-06,Westmeath,Unknown,425000.0,No,No,New Dwelling house /Apartment,Unknown,2019,5,0,0,Unknown,1,high town,0,1,UNK,425000.0,0,425000.0
2019-08-12,Cork,Unknown,242000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,hill rd,0,1,UNK,242000.0,0,242000.0
2019-07-29,Waterford,Unknown,213000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,waterford,0,1,UNK,213000.0,0,213000.0
2019-03-15,Dublin,Unknown,160000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,3,1,1,Dublin 4,0,mespil estate,0,1,UNK,160000.0,0,160000.0
2019-10-25,Louth,Unknown,222936.47,No,Yes,New Dwelling house /Apartment,Unknown,2019,10,0,1,Unknown,1,haynestown,0,1,UNK,222936.47,1,253032.89345
2019-05-20,Roscommon,Unknown,99000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,0,Unknown,1,ballaghaderreen,0,1,UNK,99000.0,0,99000.0
2019-12-11,Sligo,Unknown,88000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,clarion rd,0,1,UNK,88000.0,0,88000.0
2019-06-21,Donegal,Unknown,82000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,0,Unknown,1,beechwood avenue,0,1,UNK,82000.0,0,82000.0
2019-12-19,Dublin,Unknown,357600.0,Yes,Yes,New Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,lucan,0,1,UNK,357600.0,1,405876.0
2019-05-29,Dublin,Unknown,295154.19,No,Yes,New Dwelling house /Apartment,Unknown,2019,5,0,1,Unknown,1,old naas road,0,1,UNK,295154.19,1,335000.00565
2019-06-12,Wexford,Unknown,228194.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,6,0,1,Unknown,1,newtown road,0,1,UNK,228194.0,1,259000.19
2019-07-31,Dublin,Unknown,880000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Dublin 6,0,templeogue,0,1,UNK,703000.0,0,880000.0
2019-12-20,Dublin,Unknown,315000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Dublin 14,0,goatstown,0,1,UNK,315000.0,0,315000.0
2019-07-16,Donegal,Unknown,128000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,lifford,0,1,UNK,128000.0,0,128000.0
2019-05-15,Carlow,Unknown,160000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,1,Unknown,1,ballon,0,1,UNK,160000.0,0,160000.0
2019-03-01,Cork,Unknown,300000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,3,0,0,Unknown,1,charleville,0,1,UNK,300000.0,0,300000.0
2019-08-02,Dublin,Unknown,410000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,malahide,0,1,UNK,410000.0,0,410000.0
2019-11-07,Dublin,Unknown,235000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,hamlet lane,0,1,UNK,235000.0,0,235000.0
2019-01-25,Dublin,Unknown,165000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,1,Dublin 8,0,liberty dublin 8,0,1,UNK,165000.0,0,165000.0
2019-01-31,Dublin,Unknown,440000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,1,Unknown,1,malahide,0,1,UNK,440000.0,0,440000.0
2019-05-29,Limerick,Unknown,230000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,1,Unknown,1,farranshone,0,1,UNK,230000.0,0,230000.0
2019-04-18,Roscommon,Unknown,199900.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,4,0,0,Unknown,1,boyle,0,1,UNK,199900.0,0,199900.0
2019-03-14,Dublin,Unknown,370044.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,3,0,1,Unknown,1,cuil duin,0,1,UNK,370044.0,1,419999.94
2019-10-04,Meath,Unknown,360000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,0,Unknown,1,athboy,0,1,UNK,360000.0,0,360000.0
2019-10-31,Donegal,Unknown,118000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,1,Unknown,1,ballymacool,0,1,UNK,118000.0,0,118000.0
2019-07-18,Galway,Unknown,251000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,claregalway,0,1,UNK,251000.0,0,251000.0
2019-10-10,Cork,Unknown,120000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,1,Unknown,1,charleville,0,1,UNK,120000.0,0,120000.0
2019-06-20,Dublin,Unknown,284698.54,No,Yes,New Dwelling house /Apartment,Unknown,2019,6,1,1,Unknown,1,clay farm,0,1,UNK,284698.54,1,323132.8429
2019-07-26,Wicklow,Unknown,325000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,1,1,Unknown,1,main street,0,1,UNK,325000.0,0,325000.0
2019-10-24,Kilkenny,Unknown,262500.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,1,Unknown,1,kilkenny,0,1,UNK,262500.0,0,262500.0
2019-12-11,Waterford,Unknown,238000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,collins avenue,0,1,UNK,238000.0,0,238000.0
2019-06-06,Dublin,Unknown,270000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,1,Unknown,1,saggart,0,1,UNK,270000.0,0,270000.0
2019-12-10,Dublin,Unknown,215000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,mulhuddart,0,1,UNK,215000.0,0,215000.0
2019-09-24,Meath,Unknown,750000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,0,Unknown,1,hickeys lane baltrasna,0,1,UNK,703000.0,0,750000.0
2019-03-25,Dublin,Unknown,30000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,3,0,1,Dublin 22,0,glenfield,0,1,UNK,60000.0,0,30000.0
2019-09-30,Cork,Unknown,175000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,0,Unknown,1,castlelyons,0,1,UNK,175000.0,0,175000.0
2019-06-14,Tipperary,Unknown,38000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,0,Unknown,1,kilsheelan,0,1,UNK,60000.0,0,38000.0
2019-08-27,Dublin,Unknown,425000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,glasthule,0,1,UNK,425000.0,0,425000.0
2019-01-09,Dublin,Unknown,225000.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,1,1,Dublin 5,0,the glen,0,1,UNK,225000.0,0,225000.0
2019-08-22,Laois,Unknown,110000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,church st,0,1,UNK,110000.0,0,110000.0
2019-08-01,Cork,Unknown,165000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,greenane,0,1,UNK,165000.0,0,165000.0
2019-12-17,Kilkenny,Unknown,705000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,0,Unknown,1,newhouse,0,1,UNK,703000.0,0,705000.0
2019-07-18,Meath,Unknown,170377.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,laytown,0,1,UNK,170377.0,0,170377.0
2019-10-07,Dublin,Unknown,310000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,1,Dublin 4,0,mespil house flats estate,0,1,UNK,310000.0,0,310000.0
2019-08-15,Waterford,Unknown,91109.38,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Unknown,1,waterford,0,1,UNK,91109.38,0,91109.38
2019-11-06,Dublin,Unknown,348018.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,11,0,1,Dublin 15,0,hollystown,0,1,UNK,348018.0,1,395000.43
2019-04-04,Monaghan,Unknown,198000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,4,0,0,Unknown,1,castleblayney,0,1,UNK,198000.0,0,198000.0
2019-09-27,Meath,Unknown,162000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,9,0,1,Unknown,1,johnstown,0,1,UNK,162000.0,0,162000.0
2019-02-11,Dublin,Unknown,141000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,2,0,1,Dublin 4,0,donnybrook castle,0,1,UNK,141000.0,0,141000.0
2019-01-22,Dublin,Unknown,350000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,1,Dublin 5,0,off tonlegee rd,0,1,UNK,350000.0,0,350000.0
2019-01-17,Galway,Unknown,50880.0,Yes,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,0,Unknown,1,glinsk,0,1,UNK,60000.0,0,50880.0
2019-09-03,Cork,Unknown,350000.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,9,0,1,Unknown,1,old quarter,0,1,UNK,350000.0,1,397250.0
2019-11-25,Louth,Unknown,155000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,dundalk,0,1,UNK,155000.0,0,155000.0
2019-11-18,Kildare,Unknown,281938.0,No,Yes,New Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,osberstown,0,1,UNK,281938.0,1,319999.63
2019-07-05,Dublin,Unknown,537444.94,No,Yes,New Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,scholarstown wood,0,1,UNK,537444.94,1,610000.0068999999
2019-06-11,Dublin,Unknown,248000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,1,Unknown,1,glasthule,0,1,UNK,248000.0,0,248000.0
2019-04-05,Waterford,Unknown,325000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,4,0,1,Unknown,1,williamstown raod,0,1,UNK,325000.0,0,325000.0
2019-01-15,Dublin,Unknown,205000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,1,0,1,Dublin 22,0,neilstown,0,1,UNK,205000.0,0,205000.0
2019-07-17,Wicklow,Unknown,410000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,7,0,1,Unknown,1,arklow,0,1,UNK,410000.0,0,410000.0
2019-05-10,Cork,Unknown,275000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,0,Unknown,1,ballineen,0,1,UNK,275000.0,0,275000.0
2019-05-02,Dublin,Unknown,255000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,5,0,1,Dublin 12,0,drimnagh,0,1,UNK,255000.0,0,255000.0
2019-12-20,Waterford,Unknown,240000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,12,0,1,Unknown,1,tramore,0,1,UNK,240000.0,0,240000.0
2019-08-16,Dublin,Unknown,186250.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,8,0,1,Dublin 12,0,drimnagh,0,1,UNK,186250.0,0,186250.0
2019-11-14,Westmeath,Unknown,245000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,lakepoint park,0,1,UNK,245000.0,0,245000.0
2019-06-05,Dublin,Unknown,440000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,6,0,1,Dublin 5,0,coolock,0,1,UNK,440000.0,0,440000.0
2019-11-28,Cork,Unknown,295000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,11,0,1,Unknown,1,ballinglanna,0,1,UNK,295000.0,0,295000.0
2019-10-31,Kerry,Unknown,85000.0,No,No,Second-Hand Dwelling house /Apartment,Unknown,2019,10,0,0,Unknown,1,sneem,0,1,UNK,85000.0,0,85000.0
