Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,coordinate
11/02/2016,"103 ALLENVIEW HEIGHTS, NEWBRIDGE, CO KILDARE",Kildare,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1785925,-6.8206614"
04/05/2016,"MAGHERACALLAGHAN, DONEYLOOP, CASTLEFINN",Donegal,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,,
17/06/2016,"16 BELLVUE APARTMENTS, COOKSTOWN ROAD, TALLAGHT",Dublin,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,,
05/12/2016,"100 ASHFIELD EAST, NEW ORCHARD RD, KILKENNY",Kilkenny,,"€162,500.00",No,No,Second-Hand Dwelling house /Apartment,,
12/08/2016,"144 SLI GHEAL, BALLYMONEEN RD, KNOCKNACARRA",Galway,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/02/2016,"27 BRIDGETOWN CLOSE, CASTLEMARTYR, CORK",Cork,,"€159,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.9096812,-8.0509063"
07/12/2016,"5 THE ELMS, KILANERIN, GOREY",Wexford,,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.7296159,-6.2859267"
27/04/2016,"CATLEREAGH, KILLALA, MAYO",Mayo,,"€38,000.00",No,No,Second-Hand Dwelling house /Apartment,,
05/10/2016,"WHITE MOUNTAIN COTTAGE, SMARMORE, ARDEE",Louth,,"€207,500.00",No,No,Second-Hand Dwelling house /Apartment,,
01/07/2016,"77 CARRIGWEIR, TUAM, GALWAY",Galway,,"€130,500.00",No,No,Second-Hand Dwelling house /Apartment,,
28/04/2016,"44 GREEN LAWN, CURRAGH RD, CORK",Cork,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,
25/11/2016,"DUN BHRENAINN, TEMPLERAINEY PARK, ARKLOW",Wicklow,,"€249,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/01/2016,"CARNMORE, ORANMORE, GALWAY",Galway,,"€180,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,"53.3078180,-8.8687513"
22/12/2016,"28 THE GREEN, WOODBROOK GLEN, BRAY",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,
03/08/2016,"CARRICK, MANORCUNNINGHAM, CO DONEGAL",Donegal,,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/12/2016,"19 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/01/2016,"8 Pearse Road, Enniscorthy",Wexford,,"€84,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.4996481,-6.5736075"
22/04/2016,"1 EARL COURT, LOUGH RYNN ESTATE, MOHILL",Leitrim,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/10/2016,"CNOC AN BHODHAIGH, FURBO, CO. GALWAY",Galway,,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/01/2016,"17 OAKLANDS, GREYSTONES, WICKLOW",Wicklow,,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1478552,-6.0757002"
06/12/2016,"BARLEY HILL EAST, ROSSCARBERRY, CORK",Cork,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
14/11/2016,"DAVLAU, BALLYSHANNON LANE, ADAMSTOWN",Wexford,,"€312,500.00",No,No,Second-Hand Dwelling house /Apartment,,
28/11/2016,"THE WHITE HOUSE, DEREENDOUGLAS, BOYLE",Roscommon,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/12/2016,"28 JULIET SQUARE, ST EDMUNDS, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,
29/01/2016,"1-5 Old Court, Drumconrath, Meath",Meath,,"€300,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,
11/11/2016,"10 ST BRIGID'S TERRACE, MULLINGAR, CO WESTMEATH",Westmeath,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.5302465,-7.3496539"
28/10/2016,"8 ISLAND VIEW TCE, KINGS ISLAND, LIMERICK",Limerick,,"€22,000.00",No,No,Second-Hand Dwelling house /Apartment,,
11/08/2016,"1 OAKFIELD, GRANGEBELLEW, DROGHEDA",Louth,,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/11/2016,"APT 58 BLOCK 3, IVY EXCHANGE, PARNELL ST DUBLIN 1",Dublin,,"€286,000.00",No,No,Second-Hand Dwelling house /Apartment,,
03/11/2016,"50 Roseland Avenue, Cualanor, Upper Glenageary Road",Dublin,,"€678,413.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,
07/07/2016,"NEW ROAD, PORTLAOISE, CO LAOIS",Laois,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.0315280,-7.2932745"
29/04/2016,"BALLYDAVOCK, BELCARRA, CASTLEBAR",Mayo,,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/12/2016,"No.19, Hollands Close, Rheban Manor",Kildare,,"€101,321.58",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,
20/06/2016,"14 Phelan Avenue, Royal Canal Park, Ratoath Road",Dublin,,"€315,725.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,
22/12/2016,"68 HYDE SQ, SOUTH CIRCULAR RD, KILMAINHAM DUBLIN 8",Dublin,,"€175,194.00",Yes,No,Second-Hand Dwelling house /Apartment,,
24/03/2016,"KILLSOB, BAWNBOY, CO CAVAN",Cavan,,"€41,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/07/2016,"2 THE HERON, THORNWOOD, BOOTERSTOWN AVE",Dublin,,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/07/2016,"14 THE GALLOPS, DUBLIN RD, NAAS",Kildare,,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/03/2016,"124 COIS LUACHRA, DOORADOYLE, LIMERICK",Limerick,,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.6386051,-8.6481704"
20/12/2016,"69 THE COOMBE, DUBLIN 8, DUBLIN",Dublin,,"€246,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3397359,-6.2790337"
19/08/2016,"MOORD, KINSALEBEG, WATERFORD",Waterford,,"€174,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.9640931,-7.8067095"
01/02/2016,"14 GLENCAIRN CRESCENT, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin,,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,,
09/06/2016,"APT 43 LONGMEADOW, CONYYNGHAM ROAD, DUBLIN 8",Dublin,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/03/2016,"THE ROCK, BALLYROAN, PORTLAOISE",Laois,,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,,
13/12/2016,"86 FLAXFIELDS, CONVOY, DONEGAL",Donegal,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/02/2016,"13 KENILWORTH MANOR, HAROLD'S CROSS ROAD, DUBLIN 6W",Dublin,,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,,
10/02/2016,"12 HOLYWELL COURT, SWORDS, DUBLIN",Dublin,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,
04/03/2016,"9 DOCTOR MURPHYS PLACE, PORTLAOISE, LAOIS",Laois,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,,
03/05/2016,"APT 5, 3/4 HIGH STREET, CO SLIGO",Sligo,,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/12/2016,"91 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,
27/01/2016,"1 ST MARYS RD, CRUMLIN, DUBLIN 12",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/01/2016,"88 RUSHEEN ARD, CALTRAGH, SLIGO TOWN",Sligo,,"€117,000.00",No,No,Second-Hand Dwelling house /Apartment,,
10/11/2016,"15 COIS EALA, GROVE RD, RATHMINES DUBLIN 6",Dublin,,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/03/2016,"DOON, RATHRONAN, CLONMEL",Tipperary,,"€599,000.00",No,No,Second-Hand Dwelling house /Apartment,,
17/08/2016,"51 CHESTNUT MEADOWS, GLANMIRE, CORK",Cork,,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.9234269,-8.3834356"
23/11/2016,"21 Hollywoodrath Crescent, Hollystown, Dublin 15",Dublin,,"€305,727.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
31/08/2016,"47 THE BIRCHES, DRUMGOLA WOODS, CAVAN",Cavan,,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,,"54.0168042,-7.3591251"
19/12/2016,"THE GRANGE, TREVET, DUNSHAUGHLIN",Meath,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,,
17/08/2016,"7 FRENCH COURT, STROKESTOWN, ROSCOMMON",Roscommon,,"€74,000.00",No,No,Second-Hand Dwelling house /Apartment,,
05/08/2016,"4 NURNEY VILLAGE, NURNEY, CARLOW",Carlow,,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/12/2016,"41 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin,,"€191,000.00",No,No,Second-Hand Dwelling house /Apartment,,
30/09/2016,"84 EMBASSY MANOR, KILL, KILDARE",Kildare,,"€67,500.00",No,No,Second-Hand Dwelling house /Apartment,,
16/07/2016,"7 BARRACK CLOSE, DUNDALK, LOUTH",Louth,,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,,
10/05/2016,"12 COLLEGE VIEW, BALLYMUN, DUBLIN",Dublin,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
04/11/2016,"37 Fern Grove, Forest Hill, Carrigaline",Cork,,"€258,105.73",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
11/03/2016,"22 YEWLANDS, MARYBOROUGH WOODS, DOUGLAS",Cork,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,,
03/06/2016,"GARRYMONA WALSH, ISLAND GEASHILL, OFFALY",Offaly,,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/08/2016,"CLONFADDA, DUNHILL, WATERFORD",Waterford,,"€592,500.00",No,No,Second-Hand Dwelling house /Apartment,,
26/02/2016,"9 SLI LEAG ARD, BALLARD RD, MILTOWN MALBAY",Clare,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,
04/03/2016,"Rathmurphy, Co. Sligo",Sligo,,"€106,000.00",No,No,Second-Hand Dwelling house /Apartment,,"54.1634520,-9.1274221"
03/08/2016,"BALLYVRISLAUN, LISCANNOR, CLARE",Clare,,"€223,500.00",No,No,Second-Hand Dwelling house /Apartment,,
25/02/2016,"10 ST PETERS TCE, TRAMORE, WATERFORD",Waterford,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,
11/08/2016,"KILCOONA, HEADFORD, GALWAY",Galway,,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/06/2016,"82 OLIVER PLUNKETT RD, DUN LAOGHAIRE, DUBLIN",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.2845672,-6.1512938"
15/07/2016,"4 COURTOWN PARK, KILCOCK, KILDARE",Kildare,,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3954268,-6.6767437"
02/09/2016,"KILSHALLAGH, BALLINAGH, CO.CAVAN",Cavan,,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,,
06/07/2016,"27A GLENAMUCK COTTAGES, GLENAMUCK RD, CARRICKMINES",Dublin,,"€510,000.00",No,No,Second-Hand Dwelling house /Apartment,,
26/09/2016,"1 BALLYHALL, ROSCREA, TIPPERARY",Tipperary,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.9533863,-7.7966502"
25/10/2016,"3 COOLCOWER COURT, MACROOM, CORK",Cork,,"€141,000.00",No,No,Second-Hand Dwelling house /Apartment,,
14/06/2016,"9 EMBASSY COURT, PRINCE OF WALES TERRACE, BALLSBRIDGE DUBLIN 4",Dublin,,"€962,500.00",No,No,Second-Hand Dwelling house /Apartment,,
05/08/2016,"41 Landen Park, Oldtown Demesne, Naas",Kildare,,"€471,365.64",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
16/09/2016,"6 BELFRY GROVE, CITYWEST, TALLAGHT DUBLIN 24",Dublin,,"€207,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,
27/06/2016,"GRATTAN SQ, DUNGARVAN, WATERFORD",Waterford,,"€99,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.0895833,-7.6209251"
03/11/2016,"22 MONKSTOWN AVE, MONKSTOWN FARM, DUNLAOGHAIRE",Dublin,,"€660,000.00",No,No,Second-Hand Dwelling house /Apartment,,
29/07/2016,"APT 5  FRANCIS COURT, MARKS ALLEY, FRANCIS STREET",Dublin,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,
25/08/2016,"56 CAREYSTOWN WOODS, WHITEGATE, CORK",Cork,,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,,"51.8292158,-8.2278716"
16/05/2016,"4A ARD NA MARA, SCHOOL RD, LAHINCH",Clare,,"€232,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/02/2016,"APT 6 GORT NA HALLA, WOODLAWN CROSS, MUCKROSS ROAD",Kerry,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,
08/07/2016,"11 THE COVERT, WOODFARM ACRES, PALMERSTOWN DUBLIN 20",Dublin,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3547678,-6.3749720"
24/05/2016,"APT 35 THE DOCKS, BASTION QUAY, ATHLONE",Westmeath,,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,,
01/07/2016,"1 MOYLARAGH MANOR, BALBRIGGAN, CO DUBLIN",Dublin,,"€84,500.00",No,No,Second-Hand Dwelling house /Apartment,,
27/10/2016,"BARRATOORE, KYLEBRACK, LOUGHREA",Galway,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/04/2016,"16 LAKESIDE PARK, LOUGHREA, CO GALWAY",Galway,,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1978940,-8.5832463"
24/08/2016,"1 GREEN ACRE COURT, RATHFARNHAM, DUBLIN 16",Dublin,,"€416,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/05/2016,"25 CORNAMADDY, ATHLONE, WESTMEATH",Westmeath,,"€91,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4358549,-7.9026867"
05/12/2016,"93 BEECH LAWN, DUNDRUM, DUBLIN 16",Dublin,,"€477,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.2854318,-6.2569256"
11/08/2016,"13 JUGBACK TERRACE, SWORDS, DUBLIN",Dublin,,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4695925,-6.2280477"
12/10/2016,"THE COTTAGE, DONEGANEY, KILDARE TOWN",Kildare,,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/02/2016,"BUNLACKEN, CULLAHILL, PORTLAOISE",Laois,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/07/2016,"APT.86 -  HYBREASAL HOUSE, SOUTH CIRCULAR ROAD, KILMAINHAM",Dublin,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,
07/10/2016,"MCQUILLENS CROSS, CLONARD, GREAT CLONARD",Wexford,,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/09/2016,"67 ST MARGARETS AVE, RAHENY, DUBLIN 5",Dublin,,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,,
15/12/2016,"54 BARGY ROAD, DUBLIN 3",Dublin,,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3558937,-6.2316347"
16/12/2016,"CASTLEBLAKENEY, BALLINASLOE, GALWAY",Galway,,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4295506,-8.4755461"
29/01/2016,"10 TIFFANY DOWNS, BISHOPSTOWN, CORK",Cork,,"€281,350.00",No,No,Second-Hand Dwelling house /Apartment,,"51.8758912,-8.5204518"
14/12/2016,"MOUNTSCRIBE, DOORUS, KINVARA",Galway,,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,,
13/01/2016,"4 AIRHILL, CLONMEL, TIPPERARY",Tipperary,,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/05/2016,"80 DALCASSIAN DOWNS, GLASNEVIN, DUBLIN",Dublin,,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,,
11/10/2016,"18 GERALDINE ST, DUBLIN 7, DUBLIN",Dublin,,"€225,500.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3576691,-6.2703348"
05/10/2016,"Silvergrove, Bodyke, County Clare",Clare,,"€217,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
14/12/2016,"29 OAKDALE CLOSE, BALLYCULLEN PARK, FIRHOUSE DUBLIN 24",Dublin,,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,,
01/11/2016,"77 BOYNE MEADOWS, EDENDERRY, OFFALY",Offaly,,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3474995,-7.0382370"
08/12/2016,"23 CRYSTAL FOUNTAIN, HOLIDAY VILLAGE, CAMP TRALEE",Kerry,,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/06/2016,"26 BUTTERY COURT, MARKET SQ, MALLOW",Cork,,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/05/2016,"22 RIDGEWOOD PARK, FOREST RD, SWORDS",Dublin,,"€330,000.00",No,No,Second-Hand Dwelling house /Apartment,,
29/07/2016,"11 BLOCK D LINDEN, DRUMGEELY, SHANNON",Clare,,"€14,354.16",No,No,Second-Hand Dwelling house /Apartment,,
12/02/2016,"VALE VIEW HOUSE, LISSALWAY, CASTLEREA",Roscommon,,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,,
25/02/2016,"4 MOYCLARE DR, BALDOYLE, DUBLIN 13",Dublin,,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3933068,-6.1279477"
27/10/2016,"14 THE DUNES, CASTLECOVE ENNISCRONE, SLIGO",Sligo,,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,,"54.2138390,-9.0861170"
18/10/2016,"21 LAUREL HOUSE, CARRICKMINES GREEN, CARRICKMINES",Dublin,,"€275,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
25/10/2016,"CORKSCREW HILL, BALLYVAUGHAN, CO CLARE",Clare,,"€40,500.00",No,No,Second-Hand Dwelling house /Apartment,,
20/10/2016,"Shannaghmore, Glenamaddy, Co. Galway",Galway,,"€75,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,
02/06/2016,"1 GREENFIELD PLACE, HAROLDS PLACE, HAROLDS CROSS DUBLIN 6",Dublin,,"€438,000.00",No,No,Second-Hand Dwelling house /Apartment,,
28/01/2016,"APT 16, BEACHSIDE APTS, STRAND RD",Waterford,,"€59,500.00",No,No,Second-Hand Dwelling house /Apartment,,
06/10/2016,"42 COLLEGEFORT, CASTLEKNOCK, DUBLIN 15",Dublin,,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3695534,-6.3731656"
26/07/2016,"MOUNTAIN VIEW, GORTSKEAGH  MOY, KINVARA",Galway,,"€169,604.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,
11/08/2016,"11 RIVERSIDE DR, CASTLEPARK, RATHFARNHAM DUBLIN 14",Dublin,,"€1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/10/2016,"9 HERITAGE HOUSE, OCONNELL ST, WATERFORD",Waterford,,"€48,000.00",No,No,Second-Hand Dwelling house /Apartment,,
02/12/2016,"419 LANDEN RD, BALLYFERMOT, DUBLIN 10",Dublin,,"€87,500.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3394574,-6.3380227"
17/06/2016,"31 BRIDGE RD, LISTOWEL, KERRY",Kerry,,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.4438150,-9.4836806"
29/07/2016,"UPSTAIRS FLAT, 9 DUBLIN ROAD, BRAY",Wicklow,,"€62,000.00",No,No,Second-Hand Dwelling house /Apartment,,
24/10/2016,"155 VIEWMOUNT PARK, WATERFORD CITY",Waterford,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.2441087,-7.0781287"
13/05/2016,"1 COMERAGH CRESCENT, DUNGARVAN, WATERFORD",Waterford,,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.0920532,-7.6348265"
23/08/2016,"45A EDGEWOOD LAWNS, BLANCHARDSTOWN, DUBLIN 15",Dublin,,"€241,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3964652,-6.3812634"
07/12/2016,"''THE BUNGALOW'', BALLYHARA, KILBRIDE",Wicklow,,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,,
28/10/2016,"CLONAGROWNA, CARNAROSS, MEATH",Meath,,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/12/2016,"DERRYLEA, WESTPORT RD, CASTLEBAR",Mayo,,"€570,000.00",No,No,Second-Hand Dwelling house /Apartment,,
19/09/2016,"6 GRANARY COURT, BAKER'S ROAD, CHARLEVILLE",Cork,,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,,
09/11/2016,"37 SOUTH SHORE, STRAND ST, TRAMORE",Waterford,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,
09/08/2016,"7 LONEHORT, RERRIN, BERE ISLAND",Cork,,"€65,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,
18/02/2016,"DRUMLEENE, BALLINDRAIT, LIFFORD",Donegal,,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,,
16/11/2016,"THE OLD SCHOOLHOUSE, EMPER, BALLYNACARRIGY",Westmeath,,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,,
13/07/2016,"THE LOG CABIN, BOOLAKILEY, CAPPOQUINN",Waterford,,"€94,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/12/2016,"36 ST JOHNS PK, TRALEE, KERRY",Kerry,,"€105,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,
07/10/2016,"53 NEAGH RD, TERENURE, DUBLIN6W",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,
12/09/2016,"35 PEARSE PARK, WATERFORD, WATERFORD",Waterford,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,"52.2449689,-7.1108037"
30/06/2016,"KNOCKANARRA WILLIAMSTOWN, WILLIAMSTOWN, GALWAY",Galway,,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,,
28/01/2016,"19 Deerpark, Crossmolina",Mayo,,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,,
20/12/2016,"68 TRIMPLESTOWN, HAMLET LANE, BALBRIGGAN",Dublin,,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/07/2016,"4 THE LAWN, ATHLUMNEY ABBEY, NAVAN",Meath,,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/02/2016,"Apartment No. 1, Block C, Grove Island",Limerick,,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,,
01/07/2016,"5 BANNOW RD, CABRA WEST, DUBLIN 7",Dublin,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3668239,-6.2910605"
22/06/2016,"12 ESPOSITO RD, WALKINSTOWN, DUBLIN 12",Dublin,,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3192886,-6.3235468"
29/02/2016,"APT 28, RUSSELL COURT, FELTRIM RD",Dublin,,"€118,487.00",No,No,Second-Hand Dwelling house /Apartment,,
05/08/2016,"67 FAHY GARDENS, LOUGHREA, COUNTY GALWAY",Galway,,"€59,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.1998753,-8.5797040"
16/06/2016,"18 JANEMOUNT PARK, CORBALLY, LIMERICK",Limerick,,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,,
22/07/2016,"17 PRIORY CHASE, ST RAPHAELS MANOR, CELBRIDGE",Kildare,,"€318,000.00",No,No,Second-Hand Dwelling house /Apartment,,
20/09/2016,"MAGLASS, BALLYMACELLIGOTT, TRALEE",Kerry,,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,,
14/10/2016,"BELCRUIT, KINCASSLAGH, DONEGAL",Donegal,,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,,
07/11/2016,"11 BROADMEADOWS, BALLYJAMESDUFF, CAVAN",Cavan,,"€135,000.00",No,No,Second-Hand Dwelling house /Apartment,,
21/04/2016,"2 THE SANDYBANKS, KEEL, ACHILL",Mayo,,"€142,500.00",No,No,Second-Hand Dwelling house /Apartment,,
29/06/2016,"26 GREENMOUNT AVE, LOUTH RD, CORK",Cork,,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,,
01/07/2016,"105 Diswellstown Manor, Castleknock",Dublin,,"€510,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,"53.3675343,-6.3864191"
19/10/2016,"4 PALMERSTOWN HEIGHTS, PALMERSTOWN, DUBLIN 20",Dublin,,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3519687,-6.3804868"
07/11/2016,"LOWER RD, MOUNTCOLLINS, LIMERICK",Limerick,,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,,
23/12/2016,"45 STRAND HILL, CLOGHERHEAD, LOUTH",Louth,,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,,
18/10/2016,"54 BLOOMFIELD PARK, DONNYBROOK, DUBLIN 4",Dublin,,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3252343,-6.2436611"
11/11/2016,"43 SHANLISS WAY, SANTRY, DUBLIN 9",Dublin,,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.3958564,-6.2531035"
27/07/2016,"16 IVY HILL, GORT RD, ENNIS",Clare,,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,,
10/06/2016,"NO 9, THE MILL RACE, BLACKWATER",Wexford,,"€133,000.00",No,No,Second-Hand Dwelling house /Apartment,,
13/07/2016,"21 BISCAYNE, MALAHIDE, DUBLIN",Dublin,,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,,"53.4455457,-6.1330986"
16/12/2016,"17 THE GLEBE, TOGHER ROAD, MONASTEREVIN",Kildare,,"€138,000.00",Yes,No,Second-Hand Dwelling house /Apartment,,
03/11/2016,"5 The Place, Hazelbrook Square, Churchtown",Dublin,,"€475,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"53.2940752,-6.2659481"
30/08/2016,"Kilteragh Drive, Foxrock, Dublin",Dublin,,"€1,115,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"53.2663721,-6.1745702"
30/09/2016,"WEST END, KILKEE, CO CLARE",Clare,,"€725,000.00",No,No,Second-Hand Dwelling house /Apartment,,
